X;Y;Trunk;Max H;Area;Trunk/max H;Crown D;tree diameter;Trunk Vol;C %;Tot C;mass 1;mass 2;mass 3;;;;;;;
;;m;m;m2;;m2;m;m3;;m3;ton/m3;ton/m3;ton/m3;;Tot C;;;771.483;;m3
533099.19;153035.45;10.91;18;174;0.606;14.89;0.6947;4.1338;2.067;;;;;;;;;;;
532632.22;151954.26;11.21;15.4;186.25;0.728;15.40;0.7201;4.5626;2.281;;;;;;;;;;;
533025.31;153091.92;6.84;14.9;59;0.459;8.67;0.3892;0.8132;0.407;;;;;;;;;;;
533045.42;152883.72;5.93;11.9;80.75;0.498;10.14;0.4615;0.9916;0.496;;;;;;;;;;;
533426.39;152555.44;5.62;9.7;77.5;0.579;9.94;0.4514;0.8990;0.449;;;;;;;;;;;
533245.32;152552.05;5.03;17.2;130.5;0.292;12.89;0.5967;1.4060;0.703;;;;;;;;;;;
532900.63;152489.11;11.35;19.9;24.25;0.570;5.56;0.2363;0.4974;0.249;;;;;;;;;;;
533252.62;152614.52;7.95;14.8;115.5;0.537;12.13;0.5592;1.9516;0.976;;;;;;;;;;;
532619.25;151960.22;12.59;16.2;181.25;0.777;15.20;0.7098;4.9798;2.490;;;;;;;;;;;
533111.38;153136.71;13.27;26;84;0.510;10.34;0.4715;2.3155;1.158;;;;;;;;;;;
533102.95;153167.59;4.46;10.8;39.5;0.413;7.09;0.3117;0.3402;0.170;;;;;;;;;;;
533473.6;152528.49;6.28;12.1;91;0.519;10.77;0.4922;1.1944;0.597;;;;;;;;;;;
533431.36;152346.93;5.18;8.4;205.5;0.617;16.18;0.7582;2.3377;1.169;;;;;;;;;;;
533118.79;152942.44;9.6;16;242.75;0.600;17.59;0.8273;5.1575;2.579;;;;;;;;;;;
533150.24;152968.95;7.39;13.9;149.5;0.532;13.80;0.6413;2.3857;1.193;;;;;;;;;;;
533308.9;152470.55;4.87;19.2;69.75;0.254;9.43;0.4263;0.6949;0.347;;;;;;;;;;;
533334.39;152678.4;7.25;10.7;153.5;0.678;13.98;0.6503;2.4068;1.203;;;;;;;;;;;
533308.35;152447.48;5.2;16.8;85.75;0.310;10.45;0.4767;0.9277;0.464;;;;;;;;;;;
532648.46;152016.22;13.04;18.1;201;0.720;16.00;0.7495;5.7497;2.875;;;;;;;;;;;
533202.08;152935.82;5.85;8.5;79.75;0.688;10.08;0.4584;0.9652;0.483;;;;;;;;;;;
533052.91;152477.53;5.2;15.3;124.75;0.340;12.61;0.5826;1.3856;0.693;;;;;;;;;;;
533156.53;152788.47;11.01;18.8;168;0.586;14.63;0.6820;4.0203;2.010;;;;;;;;;;;
533351.25;152319.91;7.49;10.5;117;0.713;12.21;0.5631;1.8641;0.932;;;;;;;;;;;
533261.31;152676.68;13.38;18.6;172.5;0.719;14.82;0.6916;5.0237;2.512;;;;;;;;;;;
533368.95;152524.12;5.71;15.9;54;0.359;8.29;0.3707;0.6160;0.308;;;;;;;;;;;
533393.1;152564.15;4.66;12.3;111.25;0.379;11.90;0.5481;1.0991;0.550;;;;;;;;;;;
532986.27;152349.52;10.29;13.4;23.75;0.768;5.50;0.2334;0.4402;0.220;;;;;;;;;;;
533041.16;152595.93;12.11;18.4;199.75;0.658;15.95;0.7470;5.3048;2.652;;;;;;;;;;;
532608.82;152016.18;11.31;16.9;251;0.669;17.88;0.8418;6.2920;3.146;;;;;;;;;;;
533199.2;152743.64;6.86;15.5;143.75;0.443;13.53;0.6281;2.1246;1.062;;;;;;;;;;;
533387.84;152407.76;21.33;27.6;22.5;0.773;5.35;0.2262;0.8569;0.428;;;;;;;;;;;
533280.64;152212.08;7.28;10.3;4.5;0.707;2.39;0.0808;0.0373;0.019;;;;;;;;;;;
533268.17;152733.04;20.19;23.8;198;0.848;15.88;0.7436;8.7630;4.382;;;;;;;;;;;
533182.39;152808.51;8.93;17.7;155.5;0.505;14.07;0.6548;3.0053;1.503;;;;;;;;;;;
533468.22;152420.31;7.31;12.6;124.25;0.580;12.58;0.5814;1.9395;0.970;;;;;;;;;;;
533069.68;153142.76;20.73;25.6;202.5;0.810;16.06;0.7524;9.2121;4.606;;;;;;;;;;;
533011.02;152385.57;6.88;12.1;159.75;0.569;14.27;0.6642;2.3823;1.191;;;;;;;;;;;
533074.69;152345.65;5.82;9.4;129.75;0.619;12.86;0.5949;1.6169;0.808;;;;;;;;;;;
