OBJECTID;pointid;grid_code;POINT_X;POINT_Y
622;1603586;6.800000191;533174.75;152662.75
623;1603587;5.699999809;533175.25;152662.75
624;1603588;4.699999809;533175.75;152662.75
625;1603589;6.099999905;533176.25;152662.75
626;1603590;9.5;533176.75;152662.75
627;1603591;8.699999809;533177.25;152662.75
628;1603592;8.100000381;533177.75;152662.75
629;1603593;10.19999981;533178.25;152662.75
630;1603594;10.19999981;533178.75;152662.75
631;1603595;9.5;533179.25;152662.75
632;1603596;7.699999809;533179.75;152662.75
633;1603597;3.5;533180.25;152662.75
634;1603598;9.800000191;533180.75;152662.75
635;1603599;8.800000191;533181.25;152662.75
636;1603600;10.30000019;533181.75;152662.75
637;1603601;5.599999905;533182.25;152662.75
638;1603602;9.699999809;533183.25;152662.75
639;1603603;9.5;533183.75;152662.75
640;1603604;8.5;533184.75;152662.75
641;1603605;10.39999962;533185.25;152662.75
642;1603606;9.699999809;533185.75;152662.75
643;1603607;9.199999809;533186.25;152662.75
644;1603608;9.100000381;533186.75;152662.75
645;1603609;9.399999619;533187.25;152662.75
646;1603610;5.900000095;533188.75;152662.75
647;1603611;5.900000095;533189.25;152662.75
648;1603612;8.5;533189.75;152662.75
649;1603613;8.699999809;533190.25;152662.75
650;1603614;9.199999809;533190.75;152662.75
651;1603615;8.5;533191.25;152662.75
652;1603616;6.599999905;533191.75;152662.75
653;1603617;8;533192.25;152662.75
654;1603618;4.099999905;533192.75;152662.75
655;1603619;5.699999809;533193.25;152662.75
656;1603620;4.699999809;533193.75;152662.75
657;1603621;4.199999809;533194.25;152662.75
