OBJECTID,pointid,grid_code,POINT_X,POINT_Y
469,3227122,8.300000191,532609.25,152050.25
470,3227123,13.30000019,532609.75,152050.25
471,3227124,13,532610.25,152050.25
472,3227125,13.30000019,532610.75,152050.25
473,3227126,13.19999981,532611.25,152050.25
474,3227127,11.69999981,532611.75,152050.25
475,3227128,12.60000038,532612.25,152050.25
476,3227129,13.10000038,532612.75,152050.25
477,3227130,13.60000038,532613.25,152050.25
478,3227131,13.69999981,532613.75,152050.25
479,3227132,13.10000038,532614.25,152050.25
480,3227133,10.39999962,532614.75,152050.25
481,3227134,13.30000019,532615.75,152050.25
482,3227135,10.19999981,532616.25,152050.25
483,3227136,9.600000381,532616.75,152050.25
484,3227137,8.399999619,532617.25,152050.25
485,3227138,10.80000019,532617.75,152050.25
486,3227139,4.599999905,532618.25,152050.25
487,3227140,7.900000095,532618.75,152050.25
488,3227141,9.600000381,532619.25,152050.25
489,3227142,11.60000038,532620.25,152050.25
490,3227143,13.69999981,532621.25,152050.25
491,3227144,8.5,532621.75,152050.25
492,3227145,6.599999905,532622.75,152050.25
493,3227146,12,532623.75,152050.25
494,3227147,13.30000019,532624.25,152050.25
495,3227148,14,532624.75,152050.25
496,3227149,13.39999962,532625.25,152050.25
497,3227150,14,532625.75,152050.25
498,3227151,10.10000038,532626.25,152050.25
499,3227152,12.60000038,532626.75,152050.25
500,3227153,11.80000019,532627.25,152050.25
501,3227154,12.19999981,532627.75,152050.25
502,3227155,10.80000019,532628.25,152050.25
503,3227156,10.60000038,532628.75,152050.25
504,3227157,8.699999809,532629.25,152050.25
509,3227753,10.39999962,532606.25,152049.75
510,3227754,10.19999981,532606.75,152049.75
511,3227755,10.89999962,532607.25,152049.75
512,3227756,10.89999962,532607.75,152049.75
513,3227757,13.10000038,532608.25,152049.75
514,3227758,13,532608.75,152049.75
515,3227759,13,532609.25,152049.75
516,3227760,13,532609.75,152049.75
517,3227761,13.39999962,532610.25,152049.75
518,3227762,13.19999981,532610.75,152049.75
519,3227763,14.10000038,532611.25,152049.75
520,3227764,13.69999981,532611.75,152049.75
521,3227765,13.39999962,532612.25,152049.75
522,3227766,12.5,532612.75,152049.75
523,3227767,12.19999981,532613.25,152049.75
524,3227768,14,532613.75,152049.75
525,3227769,12.10000038,532614.25,152049.75
526,3227770,10.69999981,532614.75,152049.75
527,3227771,7.800000191,532615.25,152049.75
